id	handle	title	category	descr	bucket
prod_01KTVK8530NS2J37PSG1GB8C05	tpl-pan-273-fm	Pancake Fridge magnet	Fridge Magnets	has	X
prod_01KTVK862055YXMZXF2C8H0K92	tpl-pan-273	Pancake Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PX3PHFC7JGAJHPHPX3	tpl-piz-286-fm	Pizza Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852Z535YC5XSVR8DX334	tpl-pbw-304-fm	Professional binge watcher Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8620TWXCQ6JN88M4B4BK	tpl-pbw-304	Professional binge watcher Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PXFBAPK6E47BF3J1BD	tpl-psg-305-fm	PSG Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8621Y9GFS3SC5HST1BR0	tpl-psg-305	PSG Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85301406J9HY48SPJCAM	tpl-rac-314-fm	Rainbow cake Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86212VAW1W80PY4ZYFPR	tpl-rac-314	Rainbow cake Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86214ZB0YVZ72SVQ31JV	tpl-ric-318	Rick Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852Z88V4780FWBVHDQDW	tpl-ric-318-fm	Rick Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8621K6QKSJGXVEND4H7E	tpl-rnm-323	Rick n Morty Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PXWZ9YKEZ4V2YRVGQ6	tpl-rnm-323-fm	Rick n Morty Fridge magnet	Fridge Magnets	has	X
prod_01KTVK85RXPC6F5FH4A06GY4S7	tpl-ses-333-fm	Selflove Sauce Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK8621CZY23D2G0XMMTDX6	tpl-ses-333	Selflove Sauce Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK85RXFRP0BGN43WRJ2EDF	tpl-ses-334-fm	Serotonin spray Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK8621J3NNVA38GS9743TG	tpl-ses-334	Serotonin spray Fridge magnet	Fridge Magnets	EMPTY	X
prod_01KTVK852ZD7B9VPAN1FNYQ189	tpl-shh-335-fm	Shit happens Fridge magnet	Fridge Magnets	has	X
prod_01KTVK862151P1ERNMZAF5SKE5	tpl-shh-335	Shit happens Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8621ZBRCHMW60X5YEGJC	tpl-slc-339	Sleepy cat Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86210HF01NRRQBQ0T9CZ	sneaker-collection-fridge-magnet	Sneaker collection Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYKP7EMN00C7JMZ2V7	fm	Sneaker collection Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYCV317NRAWSB71A92	tpl-str-359-fm	Starwars R2D2 Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8621M5TP8W6R5QA1TKMX	tpl-str-359	Starwars R2D2 Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYDWB91Z4T7FPD7E04	tpl-sof-362-fm	Straight outta F#_ks to give Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8621EMK1DM1SEDTSYGKA	tpl-sts-366	Strawberry shortcake Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8530B5BVQRVKT787HX02	tpl-sts-366-fm	Strawberry shortcake Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PX04DYTF54T22C7ETJ	tpl-sui-367-fm	Suck it Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8530BBW2R1535Y7VKVCB	tpl-sul-373-fm	Sushi love Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8621KMAT3ZY0ARG33APC	tpl-sul-373	Sushi love Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8621D1JCJ7Q0Y0DY1QDG	tpl-trb-385	Travel backpack Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYE48TP2MM6NX195PD	tpl-trb-385-fm	Travel backpack Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PYX8P0W3AD4DGFFKTE	tpl-uni-388-fm	Unicorn Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PY7B8D3N4N712SWYRA	tpl-via-389-fm	Vacation in a bottle Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8621EPVCBCH6YFQ4BNV0	tpl-vis-393	Vitamin sea Fridge magnet	Fridge Magnets	has	X
prod_01KTVK852ZG30YCSY591KZ2JFS	tpl-vis-393-fm	Vitamin sea Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86216GV820ZQ6ENN021A	tpl-wfm-394	Warning Feeling may Arise magnet	Fridge Magnets	has	X
prod_01KTVK85RW3R5R9QVZH85RQ750	tpl-wfm-394-fm	Warning Feeling may Arise magnet	Fridge Magnets	has	X
prod_01KTVK8530Y47PV465JKDF9QHA	tpl-wmw-397-fm	Watch me whip Fridge magnet	Fridge Magnets	has	X
prod_01KTVK8621W4ADFESHRY3222FD	tpl-wmw-397	Watch me whip Fridge magnet	Fridge Magnets	has	X
prod_01KTVK86211BPEVDZVMRMH2RVP	tpl-wow-403	Woof woof Fridge magnet	Fridge Magnets	has	X
prod_01KTVK84PY8CQCYFQTFE4BPP8M	tpl-wia-404-fm	world in a bottle Fridge magnet	Fridge Magnets	has	X
